citation_key,authors,year,title,venue,doi
Li Gao et al. 2025,"Li, Z., Gao, T., An, Y., Chen, T., Zhang, J., Wen, Y., Liu, M., & Zhang, Q.",2025,Brain-Inspired Spiking Neural Networks for Energy-Efficient Object Detection,2025 IEEE/CVF CVPR,10.1109/CVPR52734.2025.00336
Makenali et al. 2025,"Makenali, S., Rokh, B., & Azarpeyvand, A.",2025,Integrating Pruning with Quantization for Efficient Deep Neural Networks Compression,arXiv:2509.04244,10.48550/arXiv.2509.04244
Mei & Stamp 2025,"Mei, L., & Stamp, M.",2025,Energy Considerations for Large Pretrained Neural Networks,arXiv:2506.01311,10.48550/arXiv.2506.01311
Mishra & Lone 2026,"Mishra, A., & Lone, H.",2026,Beyond Benchmarks: Continuous Edge Inference for Fine-Grained Roadside Perception,arXiv:2606.17241,10.48550/arXiv.2606.17241
Nagel et al. 2021,"Nagel, M., Fournarakis, M., Amjad, R. A., Bondarenko, Y., van Baalen, M., & Blankevoort, T.",2021,A White Paper on Neural Network Quantization,arXiv:2106.08295,10.48550/arXiv.2106.08295
Paula et al. 2025,"Paula, E., Soni, J., Upadhyay, H., & Lagos, L.",2025,Comparative analysis of model compression techniques for achieving carbon efficient AI,Scientific Reports,10.1038/s41598-025-07821-w
Raffin & Trystram 2024,"Raffin, G., & Trystram, D.",2024,Dissecting the software-based measurement of CPU energy consumption: a comparative analysis,arXiv:2401.15985,10.48550/arXiv.2401.15985
Rajput & Sharma 2024,"Rajput, S., & Sharma, T.",2024,Benchmarking Emerging Deep Learning Quantization Methods for Energy Efficiency,2024 IEEE ICSA-C,10.1109/ICSA-C63560.2024.00049
Rajput & Sharma 2026,"Rajput, S., & Sharma, T.",2026,CodeGreen: Towards Improving Precision and Portability in Software Energy Measurement,arXiv:2603.17924,10.48550/arXiv.2603.17924
Rajput et al. 2023,"Rajput, S., Widmayer, T., Shang, Z., Kechagia, M., Sarro, F., & Sharma, T.",2023,Enhancing Energy-Awareness in Deep Learning through Fine-Grained Energy Measurement,arXiv:2308.12264,10.48550/arXiv.2308.12264
Sander et al. 2025,"Sander, J., Cohen, A., Dasari, V. R., Venable, B., & Jalaian, B.",2025,On Accelerating Edge AI: Optimizing Resource-Constrained Environments,arXiv:2501.15014,10.48550/arXiv.2501.15014
Santos et al. 2026,"Santos, S., Ottoni, A. L. C., Borgo, R., Ferreira, D., & Nepomuceno, E.",2026,A systematic review of Green Machine Learning: practices and challenges for sustainability,Artificial Intelligence Review,10.1007/s10462-026-11515-8
Sardi et al. 2026,"Sardi, A., Alberi-Morel, M. L., Alouf, S., Giroire, F., & Moulierac, J.",2026,WattLayer: Get Layers Right to Estimate Inference Energy of Neural Networks,arXiv:2606.27841,10.48550/arXiv.2606.27841
Schulze et al. 2025,"Schulze, J., Strassenburg, N., & Rabl, T.",2025,PQ Bench: Benchmarking Pruning and Quantization Techniques,Workshop on Data Management for End-to-End Machine Learning (DEEM '25),10.1145/3735654.3735940
Schwartz et al. 2019,"Schwartz, R., Dodge, J., Smith, N. A., & Etzioni, O.",2019,Green AI,arXiv:1907.10597,10.48550/arXiv.1907.10597
Shalavi et al. 2023,"Shalavi, N., Khoshsirat, A., Stellini, M., Zanella, A., & Rossi, M.",2023,Accurate Calibration of Power Measurements from Internal Power Sensors on NVIDIA Jetson Devices,arXiv:2306.13107,10.48550/arXiv.2306.13107
Sharma & Fuerst 2024,"Sharma, P., & Fuerst, A.",2024,Accountable Carbon Footprints and Energy Profiling for Serverless Functions,Proceedings of the 2024 ACM SoCC,10.1145/3698038.3698531
Sierra-Herrera et al. 2026,"Sierra-Herrera, O. H., Gonzalez Nino, M. E., Cardenas Correa, E. F., Leon-Medina, J. X., & Pozo, F.",2026,A Reproducible Benchmarking Methodology for Machine Learning Hardware: Performance-Energy Trade-Offs from GPUs to Apple Silicon,Algorithms,10.3390/a19050363
Soltani et al. 2025,"Soltani, K., Tanwar, V. K., Gupta, A., & Das, S. K.",2025,Energy-Efficient Split Learning for Resource-Constrained Environments: A Smart Farming Solution,arXiv:2509.02549,10.48550/arXiv.2509.02549
Tschand et al. 2024,"Tschand, A., Rajan, A. T. R., Idgunji, S., Ghosh, A., Holleman, J., Kiraly, C., Ambalkar, P., Borkar, R., Chukka, R., Cockrell, T., Curtis, O., Fursin, G., Hodak, M., Kassa, H., Lokhmotov, A., Miskovic, D., Pan, Y., Manmathan, M. P., Raymond, L., et al.",2024,MLPerf Power: Benchmarking the Energy Efficiency of Machine Learning Systems from Microwatts to Megawatts for Sustainable AI,arXiv:2410.12032,10.48550/arXiv.2410.12032
Tu et al. 2023,"Tu, X., Mallik, A., Chen, D., Han, K., Altintas, O., Wang, H., & Xie, J.",2023,Unveiling Energy Efficiency in Deep Learning: Measurement Prediction and Scoring across Edge Devices,arXiv:2310.18329,10.48550/arXiv.2310.18329
Tummalapalli et al. 2026,"Tummalapalli, P., Arayakandy, S., Pal, R., & Kundan, K.",2026,LLM Inference at the Edge: Mobile NPU and GPU Performance Efficiency Trade-offs Under Sustained Load,arXiv:2603.23640,10.48550/arXiv.2603.23640
Xiang 2026,"Xiang, G.",2026,Device-Aware Optimization of Energy-Efficient Deep Learning for Edge Deployment,IEEE Access,10.1109/ACCESS.2026.3694684
Xu et al. 2023,"Xu, G., Hao, Z., Luo, Y., Hu, H., An, J., & Mao, S.",2023,DeViT: Decomposing Vision Transformers for Collaborative Inference in Edge Devices,IEEE Transactions on Mobile Computing,10.1109/TMC.2023.3315138
Yuan et al. 2026,"Yuan, Y., Chowdhury, M., & Talati, N.",2026,KAIROS: Stateful Context-Aware Power-Efficient Agentic Inference Serving,arXiv:2604.16682,10.48550/arXiv.2604.16682
Zandonati et al. 2023,"Zandonati, B., Bucagu, G., Pol, A. A., Pierini, M., Sirkin, O., & Kopetz, T.",2023,Towards Optimal Compression: Joint Pruning and Quantization,arXiv:2302.07612,10.48550/arXiv.2302.07612
Zou et al. 2026,"Zou, B., Liu, N., Sun, B., Mascherin, M., Roy, D., Liu, Y., Peng, Y., Jia, N., & Chen, H.",2026,EnerInfer: Energy-Aware On-Device LLM Inference,arXiv:2606.23001,10.48550/arXiv.2606.23001
